@relation Main_SemC_17-18-weka.filters.unsupervised.attribute.ReplaceMissingValues

@attribute A1 {TVGUIDE,MODMAT,MASSEY,KMART,ROSES,CHILDCRAFT,HANOVRHOUSE,HANOVRHOUS,GUIDEPOSTS,HOMESHOP,USCAV,COLORTIL,WARDS,TARGET,WOOLWORTH,AMES,WOOLWRTH,ABBYPRESS,BELKS,SEARS,JCPENNY,CENPURCH,BELK,TOYSRUS,ECKERD,JCP,COLORTILE,BESTPROD,HANHOUSE,HILLS,SHEPLERS,HANOVERHOUSE,AUSTADS,NATLWILDLIFE,JAMESWAY,BURDINES,EXXON,HOMESHOPPING,NTLWILDLIFE,CHILDWORLD,DOWNS,GLOBAL,CASUALLIVING,CAMPINGWORLD,OLDVILLAGESHOP,GLOBALEQUP,YIELDHOUSE,REI,ECKERDS,WALMART,DUNNS,MERVYNS,LAZARUS,GALLS,COMPETITIVEDGE,CASLIVING,BRENDLS,SERVMERCH,LURIAS,ABBEYPRESS,HANOVERHSE,ABBEY,GURNEY,ADCO,KIDSRUS,PENNEY,CVS,homeshop,kmart,hanoverhouse,homeshopping,bestprod,venture,modmat,target,jfk,colorfulimage,toysrus,eckerds,jcp,walmart,eckerd,best}
@attribute A2 numeric
@attribute A3 {YES,NO}
@attribute A4 {KEY,KeY,key}
@attribute A5 {YES,NO}
@attribute A6 {BENTON,UDDEHOLM}
@attribute A7 {GALLATIN,gallatin}
@attribute A8 {UNCOATED,COATED,coated,super,uncoated}
@attribute A9 {UNCOATED,COATED,COVER,coated,uncoated,cover}
@attribute A10 {NO,YES,no}
@attribute A11 {LINE,XYLOL,NAPTHA}
@attribute A12 {YES,NO,no,yes}
@attribute A13 {Motter94,WoodHoe70,Albert70,Motter70}
@attribute A14 numeric
@attribute A15 numeric
@attribute A16 {TABLOID,CATALOG,SPIEGEL,catalog,tabloid,spiegel}
@attribute A17 {NorthUS,CANADIAN,CANAdiAN,SCANDANAVIAN,SouthUS,mideuropean}
@attribute A18 numeric
@attribute A19 numeric
@attribute A20 numeric
@attribute A21 numeric
@attribute A22 numeric
@attribute A23 numeric
@attribute A24 numeric
@attribute A25 numeric
@attribute A26 numeric
@attribute A27 numeric
@attribute A28 numeric
@attribute A29 numeric
@attribute A30 numeric
@attribute A31 numeric
@attribute A32 numeric
@attribute A33 numeric
@attribute A34 {band,noband}

@data
GUIDEPOSTS,23052,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,40,45,14.5,70,0.625,25,0,1500,59.5,40.5,0,2,1,40,40,100,band
HANOVRHOUS,35539,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,50,43,16,75,1,20,15.8,1600,49.5,34.7,0,2.5,1,38,40,103.22,noband
MODMAT,47201,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,9,CATALOG,NorthUS,45.036082,45,15,87,1,30.907563,0,1400,62.5,37.5,0,2.5,1,40,40,103.22,band
HOMESHOP,38064,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,5,CATALOG,CANADIAN,30,45,14,65,0.724333,30.907563,0,1600,62.5,37.5,0,2.5,0.8,33,40,100,noband
HOMESHOP,38064,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter70,813,1,CATALOG,CANADIAN,30,45,15.5,65,0.724333,30.907563,5.9,1600,58.8,35.3,0,2.5,1.8,33,40,100,noband
USCAV,35521,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,CANADIAN,60,38,16.4,64,0.75,30.907563,11,1400,54.9,34.1,0,2.5,1,32,40,103.22,noband
USCAV,35521,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,CANADIAN,60,38,16.5,66,0.75,30.907563,6.7,1400,56.2,37.1,0,1.1,1.4,32,40,103.22,noband
COLORTIL,37571,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,NAPTHA,NO,Motter94,824,2,TABLOID,CANADIAN,50,45,16,70,0.8125,30,0,2400,58.8,41.2,0,1.7,1,30,40,107.4,noband
COLORTIL,35751,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,NAPTHA,YES,Motter94,824,9,TABLOID,CANADIAN,40,45,15,76,0.8125,30,0,2400,62.5,37.5,0,1,1,30,40,107.4,noband
WARDS,37340,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,30,43,16.3,70,0.8125,25,1.2,2200,58.1,40.7,4,2,1,30,40,96.875,noband
TARGET,35816,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,2,SPIEGEL,CANADIAN,40,41,15.8,72,1,30,0,2000,62.5,37.5,0,2.5,1,30,40,107.4,band
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,SCANDANAVIAN,40,42,14.5,74,1,25,8,2100,57.5,34.5,0,2.3,0.7,35,40,107.4,band
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,SCANDANAVIAN,45,42,14,70,1,20,8,1850,57.5,34.5,0,2,0.7,35,40,107.4,band
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,SCANDANAVIAN,50,45,15,76,1,30,8,2150,57.5,34.5,0,2.5,1,35,40,107.4,noband
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,SCANDANAVIAN,50,45,15.2,72,1,25,5.9,2150,58.8,35.3,0,2.5,1,35,40,107.4,noband
WOOLWORTH,37080,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,828,2,TABLOID,CANADIAN,35,42,15,75,0.75,30,0,2100,58.8,41.2,0,2,0.8,30,40,107.4,band
AMES,37157,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,828,2,TABLOID,CANADIAN,30,45,17,70,0.75,35,0,2200,58.8,41.2,0,2.5,1,33,40,106.45,band
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,2,TABLOID,NorthUS,37.5,44,16,90,0.75,28,20,2050,45,35,0,2.4,0.8,35,40,107.4,noband
KMART,37352,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,9,TABLOID,NorthUS,37.5,44,16.5,91,0.75,30,21.7,2050,43.5,34.8,0,2.7,0.8,35,40,107.4,noband
TVGUIDE,25507,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,45,44,14.1,78,0.625,22,7.6,1510,54.3,38,0,2.5,0.7,34,40,114.28,noband
TVGUIDE,25507,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,40,44,14,69,0.625,20,8.5,1510,53.2,38.3,2,2.5,0.9,34,40,110,noband
WOOLWRTH,37080,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,828,2,TABLOID,NorthUS,40,47,17,78,0.75,35,0,2400,58.8,41.2,4,2.5,1,30,40,100,band
ABBYPRESS,27490,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,30,42,15.4,64,0.875,30.907563,0,1425,63,37,0,1,1.3,34,40,107.4,noband
TARGET,35811,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,2,SPIEGEL,CANADIAN,45,38,15,80,0.625,30,7,1600,58.1,34.9,0,2.5,1.5,30,40,103.22,band
BELKS,35334,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2,TABLOID,NorthUS,40,43,16,96,1,28,0,1500,58.8,41.2,2,3,0.8,40,40,103.12,noband
BELKS,35334,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,NorthUS,32.5,43,15,82,1,31,7.6,1500,54.3,38,4,2.5,1,40,40,103.12,noband
SEARS,37869,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,9,CATALOG,NorthUS,37.5,44,15,85,0.75,34,0,1400,62.5,37.5,0,2.8,1,28,40,103.12,noband
SEARS,37869,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,815,2,CATALOG,NorthUS,35,44,16,80,1,32,7,1400,58.1,34.9,0,3,1,28,40,103.12,noband
ABBYPRESS,27490,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,30,42,15.4,64,0.875,30.907563,0,1425,61.7,38.3,0,1,1.3,34,40,107.4,noband
ROSES,35752,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,50,43,16,82,0.875,30,0,2270,55.6,44.4,12,2,1,30,40,103.22,noband
ROSES,35752,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,CANADIAN,50,43,16.3,80,0.8125,30,0,2270,55.6,44.4,12,1.5,1.5,30,40,103.22,noband
JCPENNY,35794,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,NorthUS,60,43,15.8,57,0.75,24,1.2,1480,58.1,40.7,0,1.4,1.7,33,40,103.12,noband
JCPENNY,35794,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,NorthUS,52.5,43,16.6,58,0.75,20,7.9,1480,56.2,36,0,1.7,0.7,33,40,103.12,noband
ROSES,35752,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,2,TABLOID,NorthUS,50,43,17,87,0.8125,35,0,2300,58.8,41.2,0,1.3,0.7,30,40,103.22,noband
CENPURCH,37441,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,821,2,TABLOID,CANADIAN,25,38,13,75,0.625,25,0,1600,57.5,42.5,0,2.5,0.85,30,40,103.12,noband
CENPURCH,37441,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,821,7,TABLOID,CANADIAN,25,38,14,70,0.625,25,0,1600,58.8,41.2,5,1.7,0.9,30,40,103.12,noband
KMART,37354,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,SCANDANAVIAN,40,46,15.9,78,0.5,34,2.4,2000,61,36.6,0,2.4,1.3,35,40,103.22,noband
BELK,35335,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,NorthUS,45,41,17,78,0.75,16,14.1,1100,50.5,35.4,0,2.5,1,50,40,96.97,band
BELK,37335,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,NorthUS,47.5,41,16.5,72,0.75,20,14.1,1300,50.5,35.4,4,2.5,1,50,40,96.97,band
TOYSRUS,35870,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,2,TABLOID,CANADIAN,40,46,15,68,0.75,28,0,1700,58.8,41.2,0,1,1,33,40,103.22,noband
TOYSRUS,35870,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,NO,Motter94,824,9,TABLOID,CANADIAN,40,46,16.5,68,0.875,25,0,1700,58.8,41.2,0,1,1,33,40,103.125,noband
TARGET,35811,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,WoodHoe70,815,9,SPIEGEL,CANADIAN,40,35,18,85,0.625,30,0,2000,62.5,37.5,0,2.5,0.9,30,40,103.125,noband
ROSES,35752,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,50,43,17,84,0.724333,35,0,2300,55.6,44.4,0,2,0.8,30,40,103.22,noband
SEARS,37869,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Albert70,802,7,CATALOG,NorthUS,35,38,12,62,0.75,46,4.7,1400,58.8,36.5,0,2,1,28,40,103.125,noband
SEARS,37869,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Albert70,802,2,CATALOG,NorthUS,35,38,16,70,0.75,50,0,1400,62.5,37.5,0,2.8,1.5,28,40,103.125,noband
TVGUIDE,25509,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,50,46,14.6,60,0.625,25,10.5,1750,52.6,36.8,2,2.4,0.8,28,40,96.97,band
KMART,37386,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,SouthUS,40,47,24.5,78,0.875,30,8.8,2100,54.9,36.3,16,2.3,1,40,40,100,band
KMART,37386,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,827,9,TABLOID,SouthUS,40,47,14.43,76,0.75,16,7.2,2000,51.5,41.2,1,2.7,1.4,40,40,100,band
KMART,37386,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,SouthUS,40,39,15,77,0.75,20,9.4,2000,52.1,38.5,0,2.5,1,40,40,103.22,noband
KMART,37386,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,9,TABLOID,SouthUS,40,39,15,79,0.75,20,11.8,2000,49,39.2,0,2.5,1,40,40,103.22,noband
KMART,37386,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,SouthUS,45.036082,43,14.2,68,0.75,18,0,2000,62.5,37.5,0,2.5,1.2,40,40,106.45,band
KMART,37386,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,827,2,TABLOID,SouthUS,45.036082,48,14,80,0.75,30,0,2000,62.5,37.5,0,2.400938,0.987594,40,40,109.67,band
KMART,27386,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,827,2,TABLOID,SouthUS,45.036082,40,16.4,72,1,26,0,2000,62.5,37.5,0,2.5,1,40,40,106.45,band
KMART,37386,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,824,9,TABLOID,SouthUS,40,40,18.5,85,0.5625,30,0,1900,62.5,37.5,4,1.8,1.4,40,40,106.45,band
KMART,37254,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,42.5,41,14,70,0.625,20,2.3,1750,57.5,40,4,2.5,0.7,35,40,96.97,noband
ECKERD,35457,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,CANADIAN,35,39,16.2,84,1,30,0,2100,62.5,37.5,4,2,0.9,30,40,94.117,noband
MODMAT,47202,NO,KEY,YES,BENTON,GALLATIN,COATED,UNCOATED,NO,LINE,YES,Motter70,813,9,CATALOG,NorthUS,35,45,14.1,65,1,30.907563,0,1500,59.5,40.5,0,2.6,1,40,40,109.67,noband
MODMAT,47202,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,XYLOL,YES,Albert70,802,2,CATALOG,NorthUS,50,43,14.02,68,0.75,56,7.4,1800,53.2,39.4,0,3,1.3,40,40,109.67,noband
MODMAT,47202,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,WoodHoe70,816,2,CATALOG,NorthUS,67.5,45,15.5,80,0.5,34,16.3,1683,43.5,40.2,6,2.5,1,40,40,109.67,noband
AMES,37163,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,821,2,TABLOID,CANADIAN,55,37,16,75,0.625,20,5.6,1850,55.6,38.9,0,0.8,0.75,33,40,109.67,noband
KMART,37354,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,42.5,41,14,80,0.625,20,7.4,1750,53.2,39.4,0,2.1,0.9,35,40,96.97,noband
MODMAT,47202,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,52.5,45,15.3,72,0.75,30.907563,12.4,1600,51.5,36.1,0,2.5,1,40,40,109.67,noband
MODMAT,47202,NO,KEY,YES,BENTON,GALLATIN,COATED,UNCOATED,NO,LINE,YES,Motter70,813,10,CATALOG,NorthUS,35,45,15.2,63,1,30.907563,0,1500,59.5,40.5,0,2.3,0.9,40,40,109.67,noband
MODMAT,47202,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,NorthUS,52.5,45,16,68,0.75,30.907563,0,1600,58.8,41.2,4,2.3,0.8,40,40,109.67,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,NorthUS,49,43,14.5,74,0.75,23,9.1,1900,56.8,34.1,2,0.7,0.2,35,40,103.22,band
MODMAT,47202,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,5,CATALOG,NorthUS,52.5,37,14,73,0.75,30.907563,9.6,1600,53.2,37.2,0,2.3,1,40,40,109.67,noband
MODMAT,47202,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,9,CATALOG,NorthUS,52.5,43,15.1,76,0.5,31,6.6,1650,54.9,38.5,0,2.5,1.5,40,40,109.67,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,SCANDANAVIAN,40,44,16.1,78,0.9375,30,5.6,1800,55.6,38.9,0,2,1,35,40,103.22,noband
MODMAT,47202,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter70,813,1,CATALOG,NorthUS,52.5,37,15,66,0.75,30.907563,13.3,1600,55.6,42.2,0,2.4,0.8,40,40,100,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,2,TABLOID,NorthUS,40,43,16.5,72,0.625,20,9.1,2000,56.8,34.1,4,2.5,0.5,35,40,103.22,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,Motter94,827,9,TABLOID,NorthUS,40,43,16.1,70,0.625,20,11.1,2000,55.6,33.3,4,1.8,0.9,35,40,103.22,noband
ROSES,35753,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,824,9,TABLOID,CANADIAN,40,43,16,80,0.5625,30,5.6,1900,55.6,38.9,0,2.2,1.3,30,40,103.22,noband
TVGUIDE,25513,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,45,45,14.7,75,0.625,30,15,1734,50,35,2,1.5,0.6,34,40,103.22,band
JCP,38051,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,2,TABLOID,NorthUS,60,49,14.9,77,0.75,27,0,1650,58.8,41.2,0,2.5,0.7,33,40,103.33,noband
TVGUIDE,25514,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,NO,Motter94,821,7,TABLOID,NorthUS,55,49,12.5,70,0.625,30,5.6,1750,55.6,38.9,0,2.5,0.9,34,40,106.66,band
TVGUIDE,25513,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,2,TABLOID,NorthUS,45,45,15.1,75,0.625,20,15,1750,50,35,0,1.6,0.9,34,40,103.22,noband
JCP,38051,NO,KEY,YES,BENTON,GALLATIN,UNCOATED,COATED,NO,LINE,YES,WoodHoe70,816,9,TABLOID,NorthUS,55,49,15.6,74,0.75,24,0,1650,58.8,41.2,0,2.5,1.7,33,40,103.33,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,2,TABLOID,NorthUS,40,49,15.3,74,1,34,0,2000,62.5,37.5,0,2.2,1,35,40,100,noband
KMART,37355,NO,KEY,YES,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,9,TABLOID,NorthUS,40,49,16.8,78,0.9375,30,0,2000,62.5,37.5,0,2.4,0.9,35,40,100,noband
TVGUIDE,25515,YES,KEY,YES,BENTON,GALLATIN,UNCOATED,UNCOATED,NO,LINE,YES,Motter94,821,7,TABLOID,NorthUS,42.5,46,14,77,0.625,42,15.8,1850,49.5,34.6,8,1.5,0.8,34,40,100,band
WOOLWORTH,37081,NO,KEY,NO,BENTON,GALLATIN,COATED,COATED,NO,LINE,YES,Motter94,828,1,TABLOID,CANADIAN,35,44,15.5,100,0.875,30,0,2200,53.2,46.8,0,0,0,30,40,100,band
